unidade;setor_centro_custo;ano;mes;pacientes_lp;saidas;tx_lp
CHPB;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;2022;1;1;6,0;0,16666666666666666
CHPB;UNIDADE DE TRATAMENTO CLINICO;2022;1;1;1,0;1,0
CHPB;UNIDADE INTERNAÇÃO - PSIQUIATRIA;2022;1;4;14,0;0,2857142857142857
CHPB;LAR INCLUSIVO E;2022;2;1;1,0;1,0
CHPB;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;2022;2;4;8,0;0,5
CHPB;UNIDADE INTERNAÇÃO - PSIQUIATRIA;2022;2;4;17,0;0,23529411764705882
CHPB;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;2022;3;4;5,0;0,8
CHPB;UNIDADE INTERNAÇÃO - PSIQUIATRIA;2022;3;4;19,0;0,21052631578947367
CHPB;LAR INCLUSIVO;2022;4;1;1,0;1,0
CHPB;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;2022;4;5;9,0;0,5555555555555556
CHPB;UNIDADE DE TRATAMENTO CLINICO;2022;4;1;1,0;1,0
CHPB;UNIDADE INTERNAÇÃO - PSIQUIATRIA;2022;4;6;27,0;0,2222222222222222
CHPB;LAR INCLUSIVO C;2022;5;4;4,0;1,0
CHPB;LAR INCLUSIVO E;2022;5;1;1,0;1,0
CHPB;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;2022;5;4;11,0;0,36363636363636365
CHPB;UNIDADE DE TRATAMENTO CLINICO;2022;5;1;1,0;1,0
CHPB;UNIDADE INTERNAÇÃO - PSIQUIATRIA;2022;5;10;21,0;0,47619047619047616
CHPB;LAR INCLUSIVO;2022;6;6;6,0;1,0
CHPB;LAR INCLUSIVO C;2022;6;2;2,0;1,0
CHPB;LAR INCLUSIVO D;2022;6;6;6,0;1,0
CHPB;LAR INCLUSIVO E;2022;6;1;1,0;1,0
CHPB;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;2022;6;3;7,0;0,42857142857142855
CHPB;UNIDADE INTERNAÇÃO - PSIQUIATRIA;2022;6;11;23,0;0,4782608695652174
CHPB;LAR INCLUSIVO;2022;7;1;1,0;1,0
CHPB;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;2022;7;5;9,0;0,5555555555555556
CHPB;UNIDADE INTERNAÇÃO - PSIQUIATRIA;2022;7;12;30,0;0,4
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2022;8;6;24,0;0,25
CHPB;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;2022;8;2;5,0;0,4
CHPB;UNIDADE INTERNAÇÃO - PSIQUIATRIA;2022;8;3;6,0;0,5
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2022;9;6;22,0;0,2727272727272727
CHPB;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;2022;9;11;15,0;0,7333333333333333
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2022;10;4;24,0;0,16666666666666666
CHPB;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;2022;10;7;13,0;0,5384615384615384
CHPB;UNIDADE INTERNAÇÃO - PSIQUIATRIA;2022;10;1;1,0;1,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2022;11;14;31,0;0,45161290322580644
CHPB;LAR INCLUSIVO;2022;11;1;1,0;1,0
CHPB;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;2022;11;11;15,0;0,7333333333333333
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2022;12;7;24,0;0,2916666666666667
CHPB;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;2022;12;8;15,0;0,5333333333333333
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;1;7;27,0;0,25925925925925924
CHPB;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;2023;1;5;13,0;0,38461538461538464
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;2;5;22,0;0,22727272727272727
CHPB;LAR INCLUSIVO;2023;2;1;1,0;1,0
CHPB;LAR INCLUSIVO B;2023;2;3;3,0;1,0
CHPB;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;2023;2;4;13,0;0,3076923076923077
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;3;11;31,0;0,3548387096774194
CHPB;LAR INCLUSIVO B;2023;3;2;2,0;1,0
CHPB;LAR INCLUSIVO D;2023;3;1;1,0;1,0
CHPB;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;2023;3;9;15,0;0,6
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;4;9;26,0;0,34615384615384615
CHPB;LAR INCLUSIVO;2023;4;1;1,0;1,0
CHPB;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;2023;4;7;18,0;0,3888888888888889
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;5;4;43,0;0,09302325581395349
CHPB;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;2023;5;6;15,0;0,4
CHPB;UNIDADE INTERNAÇÃO - PSIQUIATRIA;2023;5;1;1,0;1,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;6;3;29,0;0,10344827586206896
CHPB;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;2023;6;10;16,0;0,625
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;7;3;37,0;0,08108108108108109
CHPB;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;2023;7;9;12,0;0,75
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;8;11;25,0;0,44
CHPB;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;2023;8;11;19,0;0,5789473684210527
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;9;5;22,0;0,22727272727272727
CHPB;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;2023;9;5;11,0;0,45454545454545453
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;10;10;36,0;0,2777777777777778
CHPB;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;2023;10;7;13,0;0,5384615384615384
CHPB;UNIDADE INTERNAÇÃO - PSIQUIATRIA;2023;10;1;1,0;1,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;11;4;25,0;0,16
CHPB;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;2023;11;6;11,0;0,5454545454545454
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;12;5;28,0;0,17857142857142858
CHPB;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;2023;12;10;19,0;0,5263157894736842
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2024;1;6;24,0;0,25
CHPB;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;2024;1;8;18,0;0,4444444444444444
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2024;2;2;34,0;0,058823529411764705
CHPB;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;2024;2;9;20,0;0,45
CHPB;UNIDADE INTERNAÇÃO - PSIQUIATRIA;2024;2;1;1,0;1,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2024;3;4;18,0;0,2222222222222222
CHPB;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;2024;3;4;16,0;0,25
CHPB;UNIDADE INTERNAÇÃO - PSIQUIATRIA;2024;3;1;1,0;1,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2024;4;7;29,0;0,2413793103448276
CHPB;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;2024;4;7;20,0;0,35
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2024;5;7;26,0;0,2692307692307692
